Modality,rho,n,Method,log_rec_error
2,0.85,4000,clustered,-4.100017306366131
3,0.85,4000,clustered,-6.413978318624887
1,0.85,4000,distinct,-3.2756723229057587
2,0.85,4000,distinct,-3.170443960168391
3,0.85,4000,distinct,-6.406272858051204
1,0.85,4000,ajive,-1.2520083650787237
2,0.85,4000,ajive,-1.0102192917155586
3,0.85,4000,ajive,-1.8667682634632023
1,0.85,4000,mcca,-1.2359965184992723
2,0.85,4000,mcca,-0.9979589032791177
3,0.85,4000,mcca,-1.8667717894049667
1,0.85,4000,gcca,-1.2520111598494288
2,0.85,4000,gcca,-1.0102196975452553
3,0.85,4000,gcca,-1.8667699236567992
1,0.85,4000,disco,-1.2520009654035056
2,0.85,4000,disco,-1.0102145633493322
3,0.85,4000,disco,-1.8667671644581927
1,0.85,4000,mfa,-1.469157572702505
2,0.85,4000,mfa,-1.23335583082624
3,0.85,4000,mfa,-1.8644644783025501
1,0.85,4000,hpca,-1.2507605191576967
2,0.85,4000,hpca,-0.9994121959337833
3,0.85,4000,hpca,-1.8644797901237227
1,0.8,2000,clustered,-4.254439995324815
2,0.8,2000,clustered,-4.022385364442016
3,0.8,2000,clustered,-6.4513040618396555
1,0.8,2000,distinct,-3.2608142547809518
2,0.8,2000,distinct,-3.143311072954659
3,0.8,2000,distinct,-6.439016856907743
1,0.8,2000,ajive,-1.2520536195583962
2,0.8,2000,ajive,-1.010996007121263
3,0.8,2000,ajive,-1.8690818477828626
1,0.8,2000,mcca,-1.2359291496135647
2,0.8,2000,mcca,-0.9985087220853154
3,0.8,2000,mcca,-1.8690878155471236
1,0.8,2000,gcca,-1.2520664787745832
2,0.8,2000,gcca,-1.0109978930035632
3,0.8,2000,gcca,-1.8690872513972543
1,0.8,2000,disco,-1.2520593719446471
2,0.8,2000,disco,-1.0109929724840712
3,0.8,2000,disco,-1.8690826321006853
1,0.8,2000,mfa,-1.4076506872610106
2,0.8,2000,mfa,-1.1900402408599366
3,0.8,2000,mfa,-1.8649346665616617
1,0.8,2000,hpca,-1.251573093342482
2,0.8,2000,hpca,-0.9986651501608078
3,0.8,2000,hpca,-1.8653189028491985
1,0.8,2500,clustered,-4.102087673123441
2,0.8,2500,clustered,-3.9226652628546006
3,0.8,2500,clustered,-6.436023257557896
1,0.8,2500,distinct,-3.261331077793085
2,0.8,2500,distinct,-3.101449160335168
3,0.8,2500,distinct,-6.439421036185958
1,0.8,2500,ajive,-1.2469668969292724
2,0.8,2500,ajive,-1.0081220794491212
3,0.8,2500,ajive,-1.8762048542957757
1,0.8,2500,mcca,-1.2320642746354535
2,0.8,2500,mcca,-0.9962088709438526
3,0.8,2500,mcca,-1.876201438075151
1,0.8,2500,gcca,-1.246974881312629
2,0.8,2500,gcca,-1.008123066336689
3,0.8,2500,gcca,-1.8762078258266144
1,0.8,2500,disco,-1.246964165233552
2,0.8,2500,disco,-1.0081165721922754
3,0.8,2500,disco,-1.8762022049656202
1,0.8,2500,mfa,-1.395179073324059
2,0.8,2500,mfa,-1.1998931076223345
3,0.8,2500,mfa,-1.8731444201174274
1,0.8,2500,hpca,-1.244688532150676
2,0.8,2500,hpca,-0.9970501668987736
3,0.8,2500,hpca,-1.8737971129670115
1,0.8,3000,clustered,-4.209522135074176
2,0.8,3000,clustered,-3.9693486985952964
3,0.8,3000,clustered,-6.433041281354435
1,0.8,3000,distinct,-3.284892458549883
2,0.8,3000,distinct,-3.102764960468619
3,0.8,3000,distinct,-6.426769549321497
1,0.8,3000,ajive,-1.2486420253752673
2,0.8,3000,ajive,-1.0012233830569321
